word,mean_importance,frequency,total_importance
conducted,0.01043354449948897,1,0.01043354449948897
tanker,0.01040415038450493,1,0.01040415038450493
commander,0.010390094990344123,1,0.010390094990344123
while,0.009896138270438141,1,0.009896138270438141
Militants,0.009296728758188776,1,0.009296728758188776
early,0.009271940940183238,1,0.009271940940183238
said,0.009091867373980161,1,0.009091867373980161
nearby,0.009034316535887703,1,0.009034316535887703
beast,0.008850736346693804,1,0.008850736346693804
third,0.008815001265892353,1,0.008815001265892353
two,0.00877276079772453,1,0.00877276079772453
In,0.008526385722343977,1,0.008526385722343977
shared,0.008443043296169385,1,0.008443043296169385
5th,0.008062167104952434,1,0.008062167104952434
Sangan,0.007936651497265055,1,0.007936651497265055
sniper,0.0070149576337475116,1,0.0070149576337475116
August,0.006614659269811167,1,0.006614659269811167
Mina,0.00635303456700827,1,0.00635303456700827
15,0.003137556309263434,2,0.006275112618526868
Du,0.006171240048706306,1,0.006171240048706306
fled,0.006159289888889612,1,0.006159289888889612
Imam,0.006146327990002263,1,0.006146327990002263
fighter,0.005848887918216059,1,0.005848887918216059
04,0.005771659427495694,1,0.005771659427495694
machine,0.005314779444144169,1,0.005314779444144169
behind,0.004769762393434336,1,0.004769762393434336
fired,0.004496190218184122,1,0.004496190218184122
Year,0.004413669929225835,1,0.004413669929225835
oil,0.004298102369479031,1,0.004298102369479031
22,0.003938581760174973,1,0.003938581760174973
Kalashnikovs,0.003681455568228507,1,0.003681455568228507
pro,0.002752195977584055,1,0.002752195977584055
defense,0.002464295265447376,1,0.002464295265447376
officers,0.002215188011128835,1,0.002215188011128835
Force,0.002172964934479047,1,0.002172964934479047
least,0.002105005632694576,1,0.002105005632694576
Sang,0.0009359699723912317,1,0.0009359699723912317
30,0.0007437125482532534,1,0.0007437125482532534
November,0.0006174401372696163,1,0.0006174401372696163
marry,0.0001412218173916091,1,0.0001412218173916091
